scan, lumi_sp, lumi_sp_err 
1 2160.8382086 1.07299206521
2 2133.84449105 1.08703564643
3 2002.32998332 1.01773445344
4 118.496468957 0.131739666135
5 112.183308196 0.12926056972
6 112.512912692 0.131175421483
8 115.099910166 0.168941945946
10 110.306531067 0.0908269694882
11 104.959829822 0.0880558519829
14 97.4140531311 0.0855092683141
15 112.594251626 0.0983871170405
