scan, lumi_sp, lumi_sp_err 
1 2170.78373328 0.591040098333
2 2142.14128025 0.580475129974
3 2009.57729858 0.519054981625
4 118.64232586 0.0497770839518
5 112.479493304 0.0488608866094
6 112.644213816 0.0491636975932
8 115.145043242 0.0634401443085
10 110.075428377 0.0279665354723
11 104.347688413 0.0265582320257
14 97.0478395369 0.0256058825934
15 112.08197197 0.0293644254681
