Scan	BCID	sigma_vis	sigma_vis_err	lumi_sp	lumi_sp_err	Sigma_X	Sigma_Y	mu_vis_max_xscan	mu_vis_max_err_xscan	xscan_offset_[#mum]	mu_vis_max_yscan	mu_vis_max_err_yscan	yscan_offset_[#mum]
1	1	227.342693737	0.886239783053	2.14694556202	0.00762448543094	25.5583179001	32.6171192369	4.3335264176e-21	1.52504306972e-23	-1.0000000475	4.30731471872e-21	1.5407007241e-23	-1.0000000475
1	241	226.662174275	1.00091731816	2.10096831708	0.0084959816708	25.7242142428	33.1159547418	4.24176033335e-21	1.64175796463e-23	-1.0000000475	4.20588033164e-21	1.65574158026e-23	-1.0000000475
1	2881	227.206510074	0.93736482928	2.23838040094	0.00868567361942	24.7302201935	32.3323315625	4.52721481224e-21	1.39100383554e-23	-1.0000000475	4.52303351182e-21	1.40372290073e-23	-1.0000000475
1	3121	225.646476885	1.10775612221	2.16114647914	0.0100725714686	25.0765144365	33.0253574723	4.31759364539e-21	1.42411427541e-23	-1.0000000475	4.30283166526e-21	1.43896027289e-23	-1.0000000475
1	all	226.714463743	0.493269252052	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
2	1	227.227253588	0.82501900239	2.14062878077	0.00691237470289	25.7035404718	32.5285416507	4.31587115699e-21	1.55898607737e-23	-1.0000000475	4.30738686383e-21	1.56029588754e-23	-1.0000000475
2	241	227.302275958	1.1570322721	2.08106982426	0.00986794005218	26.0301099508	33.0397115448	4.20026115589e-21	1.6678247203e-23	-1.0000000475	4.20980189711e-21	1.67151284651e-23	-1.0000000475
2	2881	228.19980839	1.39016595576	2.21727460022	0.0131064139257	24.8936302965	32.4258361705	4.52119182464e-21	1.40702233292e-23	-1.0000000475	4.45837658183e-21	1.40815990867e-23	-1.0000000475
2	3121	227.551380475	0.899209255573	2.12384991854	0.00767389294095	25.4951396365	33.0535174454	4.30198813163e-21	1.45730112529e-23	-1.0000000475	4.24366647643e-21	1.45496773077e-23	-1.0000000475
2	all	227.570179603	0.545465323304	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
3	1	230.986265659	1.0314008411	1.99955626701	0.00825009553653	26.853720868	33.3319561374	4.06917694422e-21	1.54866722271e-23	-1.0000000475	4.07755134769e-21	1.55687651254e-23	-1.0000000475
3	241	231.667206966	1.13248026178	1.96296999627	0.00886331108371	27.1594206459	33.5710355951	3.9588828249e-21	1.67264814422e-23	-1.0000000475	4.0319394403e-21	1.69054707961e-23	-1.0000000475
3	2881	231.986257306	0.866342997198	2.05345672075	0.00701942145623	26.2838632513	33.1607350427	4.17472764542e-21	1.40071921564e-23	-1.0000000475	4.19305053461e-21	1.41274052691e-23	-1.0000000475
3	3121	231.262944032	0.717045035628	1.99193083208	0.00524688322592	26.59808591	33.7811370264	4.07555353485e-21	1.45293209054e-23	-1.0000000475	4.05873435455e-21	1.46290178651e-23	-1.0000000475
3	all	231.475668491	0.475065982934	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
4	1	224.550860936	0.708521371005	0.11704946568	0.000312760089458	121.72592654	125.616409873	2.33992132381e-22	8.51704500759e-25	0.199999994948	2.341705343e-22	8.66132538716e-25	0.199999994948
4	721	223.519133239	0.730390995631	0.123749118346	0.00037069293044	118.823303192	121.71810066	2.46271096813e-22	7.53682987588e-25	0.199999994948	2.43183531899e-22	7.57978988485e-25	0.199999994948
4	1821	224.260381048	0.752724067769	0.116301186729	0.000346444436738	120.493774516	127.717422764	2.33557952286e-22	8.35184702754e-25	0.199999994948	2.3064761686e-22	8.37053228348e-25	0.199999994948
4	all	224.110125074	0.421909292762	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
5	1	230.097991774	0.731945967073	0.110856317805	0.000296950206077	126.000552837	128.134477389	2.23587616601e-22	8.63256420265e-25	0.199999994948	2.2575273738e-22	8.78652966036e-25	0.199999994948
5	721	229.175986272	0.770254805705	0.119025148564	0.000358599439568	121.848433791	123.407120268	2.40752258949e-22	7.80293608053e-25	0.199999994948	2.4067157481e-22	7.95274289189e-25	0.199999994948
5	1821	229.119800163	0.739160490625	0.109798594332	0.000299121902555	125.03152418	130.371480052	2.21723739979e-22	8.4902758834e-25	0.199999994948	2.23350589788e-22	8.56739970387e-25	0.199999994948
5	all	229.464592737	0.431456911113	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
6	1	228.054269486	0.866206591457	0.111236346109	0.00037675477261	125.357439894	128.351832229	2.2461354866e-22	8.76237786503e-25	0.199999994948	2.24683877483e-22	8.91961736226e-25	0.199999994948
6	721	228.601215457	0.628355362328	0.119567719453	0.000276159889778	120.956862714	123.752631244	2.4220527493e-22	8.04972385828e-25	0.199999994948	2.43849192189e-22	8.23053270598e-25	0.199999994948
6	1821	227.629675724	0.720353674896	0.110121309562	0.000293296423119	124.626015641	130.412380832	2.21567512598e-22	8.58148903265e-25	0.199999994948	2.22588936094e-22	8.75715620781e-25	0.199999994948
6	all	228.095053555	0.429994022877	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
8	1	225.145096884	1.11401176841	0.107628453994	0.000480522235496	127.068614676	130.868011763	2.14899715185e-22	8.40191523803e-25	0.199999994948	2.1382695789e-22	8.39362680836e-25	0.199999994948
8	721	225.010782158	0.836646636193	0.112524427367	0.000351753445421	124.335604224	127.925340271	2.23906492513e-22	8.37038633446e-25	0.199999994948	2.24909134373e-22	8.46660400546e-25	0.199999994948
