scan, sigma_vis, sigma_vis_err 
1 36.4331544755 0.0052601077233
2 36.6536459541 0.00534753934535
3 37.1985054063 0.00535735634991
4 34.1305289321 0.00906027081881
5 35.0417304548 0.00976031112829
6 34.8801685581 0.00980796611222
8 34.2682394801 0.0120865428168
10 34.2357392106 0.00687682881488
11 34.6271856263 0.00700863881657
14 34.8551384737 0.00728121908394
15 34.9086368607 0.00789928405828
