scan, BCID, sigma_vis, sigma_vis_err, lumi_sp, lumi_sp_err, Sigma_x, Sigma_y 
1 1 4.81990230334 0.00912135035882 2157.98436072 6.55255046465 0.0253821055459 0.0326755542486
1 241 4.8301430898 0.009811440326 2087.89364974 6.80511941532 0.0258659391494 0.0331407457265
1 2881 4.83218775178 0.00782552038643 2240.01262059 5.79382292094 0.0246888196375 0.0323629505272
1 3121 4.82700505048 0.00854396148327 2146.40473768 6.08039697238 0.025132376947 0.0331782685776
2 1 4.85120059996 0.00920194658467 2131.74888879 6.46021586026 0.0258422875579 0.032488667657
2 241 4.85149802989 0.0102396336907 2077.79137109 7.02783465448 0.0260727699906 0.0330376988267
2 2881 4.86968600883 0.00824628378875 2198.50159082 5.98455854743 0.025063238609 0.0324814141243
2 3121 4.84486835932 0.0086278951252 2118.9581469 6.06626570094 0.0254435953869 0.0331969391326
3 1 4.92722008239 0.00944485285232 2000.22093259 5.97130651678 0.0268459841454 0.0333304827765
3 241 4.93570711572 0.0105781563791 1960.35140303 6.51758337101 0.0270617906556 0.0337371540016
3 2881 4.93378911521 0.00848127760428 2050.77347675 5.56467391361 0.0262291744565 0.033273354561
3 3121 4.93229397678 0.00916584047659 1984.84390902 5.846832064 0.0266448219874 0.0338422881976
4 1 4.80730023248 0.0207827007849 117.439497763 0.79126868982 0.121007896069 0.125942121927
4 721 4.80130597496 0.0167984822345 123.345499053 0.674382123106 0.118860176288 0.122078511424
4 1821 4.8355054672 0.0208688418296 115.859832775 0.779784773083 0.120645800471 0.12804239678
5 1 4.96183314606 0.0236606708492 110.627883398 0.834502383855 0.125739324952 0.128665814567
5 721 4.91674432818 0.0192998013462 119.081171712 0.739679458125 0.122207277872 0.122986865161
5 1821 4.9812685775 0.0218741926457 108.181663472 0.716258697705 0.125610188891 0.131710493712
6 1 4.91480289001 0.0217187313152 111.077076025 0.737320399935 0.125026525184 0.128876075162
6 721 4.90419812532 0.0192691998674 119.682987008 0.728693331506 0.121261572547 0.12332277424
6 1821 4.92951805894 0.0236068361368 109.743177217 0.821422373342 0.125009625358 0.13046016349
8 1 4.81193851876 0.0269717768764 108.648318334 0.956106466489 0.12672472516 0.129991374189
8 721 4.8486004972 0.024359159419 112.67976924 0.860530450486 0.124858730159 0.127213745305
8 1821 4.81432680177 0.0306827982779 113.760488506 1.12717023271 0.121677662196 0.129299425797
10 1 4.85824116018 0.0163678994465 106.592128641 0.537211187418 0.125199477533 0.13411311501
10 2361 4.84303558591 0.0170975433673 120.382721358 0.55599694865 0.119146300057 0.124782644241
10 2881 4.88470521065 0.0164025400245 105.517554133 0.423514772714 0.127091004644 0.133462536018
11 1 4.91062678973 0.0170172029581 101.267895781 0.518253005267 0.130355119945 0.135581059061
11 2361 4.8810346336 0.0176715366542 113.743204302 0.536437937629 0.125095987305 0.125785350337
11 2881 4.89963055719 0.0169612657562 100.862044193 0.415357114943 0.132537004817 0.133885635354
14 1 4.93956870471 0.0178694102399 94.5202939753 0.501233506807 0.136134207705 0.139093414917
14 2361 4.90944325301 0.0183961634394 104.175931727 0.519650671138 0.131887848319 0.130264694452
14 2881 4.95332100543 0.0179125818851 94.6225581959 0.405753666269 0.13770125147 0.137361912498
15 1 4.97671508101 0.0193059415664 110.668012882 0.556026153236 0.123223473396 0.131245174051
15 2361 4.92622525686 0.0191365719343 110.279122344 0.471918240844 0.123695059269 0.131205864591
15 2881 4.90636691709 0.0193152796282 116.283746517 0.54723451141 0.120820046119 0.127391628268
