scan, sigma_vis, sigma_vis_err 
1 23.4341006129 0.00380217675062
2 23.5780264271 0.00383268807834
3 23.9291510244 0.00390886981185
4 22.3917622919 0.0072722497858
5 22.9871911228 0.00781611705181
6 22.8841693241 0.00787145543122
8 22.4862224951 0.00966409647325
10 22.3604933559 0.00550069091474
11 22.6202467665 0.00560353700276
14 22.7688861861 0.00583157324135
15 22.8128856085 0.00633088968998
