scan, sigma_vis, sigma_vis_err 
1 22.5106091808 0.0036850432589
2 22.6455415594 0.00373229173876
3 22.975348875 0.00379578438269
4 19.8304274281 0.00683172078706
5 20.3654727115 0.00733109445012
6 20.2693521482 0.00735145696661
8 19.9125436655 0.00908023118512
10 19.799114508 0.00516947358576
11 20.0223350061 0.00525183646174
14 20.1622796848 0.00548490599053
15 20.186272803 0.0059364365126
