scan, lumi_sp, lumi_sp_err 
1 2171.15865867 0.616280390016
2 2141.87474466 0.60683471247
3 2009.52828234 0.557361036195
4 118.654918276 0.0641757166631
5 112.473777906 0.0627705588913
6 112.646012968 0.0629837577864
8 115.102512491 0.0815658109749
10 110.072354131 0.0363912926627
11 104.337702084 0.0345761714921
14 97.0223608815 0.0333236060632
15 112.063046922 0.0382547677671
