scan, lumi_sp, lumi_sp_err 
1 2162.43621398 1.46416526775
2 2135.83590734 1.47008517155
3 2002.9906476 1.39594086443
4 118.422714404 0.181660535251
5 112.028905796 0.178215322185
6 112.595207533 0.182627717025
8 115.227139791 0.235084058422
10 110.279387274 0.105246223814
11 104.342361245 0.100248364186
14 97.1566891387 0.0966889390936
15 112.196123563 0.111046702363
