scan, lumi_sp, lumi_sp_err 
1 2172.78309048 0.614874524979
2 2143.6277159 0.601327447112
3 2011.07778128 0.554696539721
4 118.682565361 0.0605639248218
5 112.501570905 0.0593126254544
6 112.686372707 0.0600183697031
8 115.180918192 0.0768883560456
10 110.108593791 0.034272048764
11 104.361675678 0.0325603842012
14 97.0408079428 0.0313750793651
15 112.118173036 0.0360362668259
