Scan	BCID	sigma_vis	sigma_vis_err	lumi_sp	lumi_sp_err	Sigma_X	Sigma_Y	mu_vis_max_xscan	mu_vis_max_err_xscan	xscan_offset_[#mum]	mu_vis_max_yscan	mu_vis_max_err_yscan	yscan_offset_[#mum]
10	2881	208.93242984	0.056274230215	0.105840449773	2.54192024557e-05	126.826211368	133.333170332	1.99011433407e-22	7.16797087354e-25	-0.0399999989895	1.89625557821e-22	7.02693088315e-25	-0.0399999989895
10	all	207.687100724	0.341501623142	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
11	1	211.428889548	0.662663470926	0.100884708407	0.000286633507345	130.272786628	136.182046197	1.87412892164e-22	8.17241241957e-25	-0.0399999989895	1.87184759363e-22	8.22615585277e-25	-0.0399999989895
11	2361	210.370328925	0.680820963639	0.112868887415	0.000317684045758	125.044003122	126.812419547	2.09727788865e-22	8.47744826682e-25	-0.0399999989895	2.0733798572e-22	8.44100459185e-25	-0.0399999989895
11	2881	210.629754068	0.0210764106421	0.101170428668	9.53933470117e-06	131.471223363	134.559575157	1.8679822367e-22	6.967309451e-25	-0.0399999989895	1.85391594048e-22	6.91641266846e-25	-0.0399999989895
11	all	210.809657514	0.316769154523	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
14	1	212.117955435	0.434948472354	0.0947585837467	0.000158620047746	136.763871328	138.104857677	1.77333192662e-22	7.94971068731e-25	-0.0399999989895	1.76313781844e-22	7.95932394088e-25	-0.0399999989895
14	2361	212.940099083	0.89999665847	0.103181934974	0.000400087073651	133.595562118	129.838414025	1.95320846832e-22	8.31420822871e-25	-0.0399999989895	1.93910068084e-22	8.27338979923e-25	-0.0399999989895
14	2881	212.76168537	0.628845909188	0.0942679676731	0.000265994778557	138.866352891	136.721787512	1.77115965294e-22	6.8116512921e-25	-0.0399999989895	1.74848875789e-22	6.81076357841e-25	-0.0399999989895
14	all	212.606579963	0.393646956374	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
15	1	213.089338772	0.478111862458	0.110843058713	0.000224528424396	123.838940286	130.386663715	2.0977999061e-22	8.95469873381e-25	-0.0399999989895	2.07004311332e-22	8.91268925846e-25	-0.0399999989895
15	2361	212.668091775	0.225723927546	0.11022029513	0.000109519057433	124.122132695	130.82420457	2.07190959364e-22	7.72261777617e-25	-0.0399999989895	2.04698579763e-22	7.69209227642e-25	-0.0399999989895
15	2881	212.343811752	0.154857532042	0.115627839034	7.43033053454e-05	121.314758475	127.591826484	2.16930423971e-22	8.66675557677e-25	-0.0399999989895	2.14740411449e-22	8.66094647476e-25	-0.0399999989895
15	all	212.7004141	0.183643101852	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
